"article_title","author","journal","citations","year"
"Urban soil contamination in Bangkok: Heavy metal and aluminium partitioning in topsoils.","S Odat, F Ahmed, H Ishiga, MS Akhter, IM Madany, OA Al-Khashman, ...","Journal of Applied Sciences 15 (11), 3835-3844, 2006","","2006"
"THE ECONOMIC LIVES OF THE POOR DEVELOPMENT ECONOMICS and PUBLIC POLICY","A Banerjee, E Duflo","DISCUSSION PAPER SERIES-CENTRE FOR ECONOMIC POLICY RESEARCH LONDON 5968, 2006","","2006"
"DP5446 Remedying Education: Evidence from Two Randomized Experiments in India","A Banerjee, S Cole, E Duflo, L Linden","","","2006"
"14.11 Special Topics in Economics: The Challenge of World Poverty, Fall 2006","A Banerjee","","","2006"
"The taxman cometh.","J Kounouwewa, D Chao, R Almeida, P Carneiro, E Aryeetey, E Aryeetey, ...","The International Journal of Applied Economics and Finance 5 (1), 1211-1221, 2005","","2005"
"Comment on “A Half-Century of Development” by Richard N. Cooper and “The Evolution of Development Thinking: Theory and Policy” by Gustav Ranis","PS MALAN","ABCDE, 145, 2005","","2005"
"14.74 Foundations of Development Policy Syllabus","E Duflo, A Banerjee","","","2005"
"DP4681 Do Firms Want to Borrow More? Testing Credit Constraints Using a Directed Lending Program","A Banerjee, E Duflo","","","2004"
"DP4632 Top Indian Incomes, 1922-2000","A Banerjee, T Piketty","","","2004"
"Aghion, Philippe, 6","C Azariadis, P Bacchetta, A Banerjee, R Bansal, J Bullard, C Burnside, ...","Journal of Economic Theory 119, 366, 2004","","2004"
"14.74 Foundations of Development Policy, Spring 2004","E Duflo, A Banerjee","","","2004"
"Financial Development and the Instability of Open Economies","P Bacchetta, P Aghion, A Banerjee","Harvard University Department of Economics Scholarly Articles, 2004","","2004"
"Contract Farming","A Banerjee, P Barhan, K Basu, MD Chaudhuri, M Ghatak, AS Guha, ...","Economic and Political Weekly, 1910-1910, 2003","","2003"
"EMS and Partyless Panchayats","A Banerjee, P Bardhan, K Basu, MD Chaudhuri, M Ghatak, AS Guha, ...","Economic and Political Weekly, 1334-1334, 2003","","2003"
"14.773 Political Economy of Institutions and Development","D Acemoglu, A Banerjee, E Duflo","","","2003"
"Polynomials Satisfied by Square Matrices: A Converse to the Cayley–Hamilton Theorem","A Banerjee, A Banerjee","Resonance 7 (11), 2002","","2002"
"Библиографический список по дисциплине"" Political Economy of Institutions and Development""","DK Acemoglu, A Banerjee","","","2002"
"14.771 Development Economics: Microeconomic Issues and Policy Models, Fall 2002","E Duflo, A Banerjee, M Kremer","","","2002"
"Development Economics Fall 2002","E Duflo, A Banerjee, M Kremer","Development, 2002","","2002"
"Poverty, Incentives and Development', American Economic Review, 84 (2), May, 211-15","AV Banerjee, AF Newman","INTERNATIONAL LIBRARY OF CRITICAL WRITINGS IN ECONOMICS 140, 558-562, 2002","","2002"
"DP3092 A Corporate Balance Sheet Approach to Currency Crises","P Aghion, P Bacchetta, A Banerjee","","","2001"
"Magnetic properties of spinel system: ZnzTizCoCrx− zFe2− x− zO4","KH Jani, SS Laghate, HH Joshi, A Banerjee, RG Kulkarni","Journal of alloys and compounds 326 (1-2), 117-120, 2001","","2001"
"A Corporate Balance-Sheet Approach to Currency Crises","P Bacchetta, P Aghion, A Banerjee","Université de Lausanne-HEC-DEEP, 2001","","2001"
"Eco-labeling for Energy Efficiency and Sustainability: An Evaluation for US Programs","A Banerjee","Michigan Technological University, 2001","","2001"
"Contributors and Commentators","I Adelman, P Aghion, AV Banerjee, P Bardhan, K Basu, T Besley, ...","Frontiers of Development Economics, 563, 2001","","2001"
"Baseline Sustainability Data for the Lake Superior Basin","CM Corey, A Banerjee, RW Proudfit","","","2000"
"DP2529 Currency Crises and Monetary Policy in an Economy with Credit Constraints","P Aghion, P Bacchetta, A Banerjee","","","2000"
"Currency Crises and Monetary Policy in an Economy with Credit Constraints","A Banerjee, P Bacchetta, P Aghion","Elsevier, 2000","","2000"
"BHALLA, AS AND LAPEYRE, FREDERIC. Poverty and Exclusion in a Global World","AV Banerjee","JOURNAL OF ECONOMIC LITERATURE 38 (4), 939-964, 2000","","2000"
"Clark, JM, 162 Cline. WR, 112, 113 Cohen, Daniel, 331","W Abdelati, P Aghion, P Alba, A Alesina, W Bagehot, J Bai, A Banerjee, ...","Capital flows and the emerging economies: theory, evidence, and …, 2000","","2000"
"6 Thy Neighbor's Keeper","AV Banerjee, T Besley, TW Guinnane","Readings in Development Microeconomics 1, 145, 2000","","2000"
"Poverty and Exclusion in a Global World (Book Review).","AV Banerjee","Journal of Economic Literature 38 (4), 939-940, 2000","","2000"
"4 Occupational Choice and","AV Banerjee","Readings in Development Microeconomics 1, 95, 2000","","2000"
"Bohn, Henning, 28, 35, 147n9, 160n2, 165, 192 Bottazzi, L., 90n26 Boyd, X, 187nll","N Brady, P Alba, A Alesina, W Bagehot, J Bai, A Banerjee, KJS Barnes, ...","Capital flows and the emerging economies: theory, evidence, and …, 2000","","2000"
"DP2083 Capital Markets and the Instability of Open Economies","P Aghion, P Bacchetta, A Banerjee","","","1999"
"[Liquidity Crises in Emerging Markets: Theory and Policy]: Comment","AV Banerjee","NBER Macroeconomics Annual 14, 58-61, 1999","","1999"
"Financial Liberalization and Volatility in Emerging Market Economies","P Bacchetta, P Aghion, A Banerjee","Université de Lausanne-HEC-DEEP, 1998","","1998"
"Acute and chronic hypokalemia impair calcium metabolism and energetic responses during hypoxic injury.","ND Elkins, OK Reiss, A Banerjee, JI Shapiro","JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY 8, A0152-A0152, 1997","","1997"
"4 Evolution and Rationality: Some Recent Game","A Banerjee, JW Weibull","Economics in a Changing World: Volume 2: Microeconomics, 90, 1997","","1997"
"Canadian Journal of Physiology and Pharmacology","TN Abu-Zahra, SL Adamson, SE Akopov, B Al-Ani, AA Aldashev, O Allaf, ...","Can. J. Physiol. Pharmacol 75, 1997","","1997"
"Brown. RL. 59 Brunner. Karl. 224 Bruno. Michael, 174 Bryan. Michael E, 196 Bryant. Ralph. 64. 65","C Azariadis, A Banerjee, RJ Barro, B Truman, B Bosworth, J Boyd, ...","Monetary Policy, 337, 1997","","1997"
"Dani Rodrik “The Past, Present, and Future of Economic Growth” Global Citizens Foundation, Working Paper 1, 2013. Lant Pritchett “Divergence, Big Time.” Journal of Economic …","A Banerjee, E Duflo, I Morris, A Deaton","Journal of Economic Perspectives 11, 3, 1997","","1997"
"p250—Acknowledgment","D Abreu, S Alpern, N Anbarci, L Anderlini, MA de Frutos, PM Anglin, ...","Games and Economic Behavior 19, 250-251, 1997","","1997"
"International Development","ADE Model, AV Banerjee, AF Newman","","","1996"
"DEPARTMENT OF ECONOMICS, M. 1. T","A BANERJEE","","","1996"
"A Walrasian Theory of Money","AV Banerjee, ES Maskin","Harvard Institute of Economic Research Working Papers, 1996","","1996"
"Neutrally Stable Outcomes in Cheap Talk Games","A Banerjee, JW Weibull","IUI Working Paper, 1996","","1996"
"Response of soybean plants to some microelements treatments. 1.-growth, nodulation, certain physiological aspects as well as yield and its components.","MS El-Hersh, KM Abd El-Hai, KM Ghanem, A El-Hai, A El-Kareem, ...","Asian Journal of Plant Pathology 5 (3), pp: 956-967, 1995","","1995"
"Economic damages of Roudbar earthquake in Northern Iran in 1990.","H Sadeghi, SE Sefiddasht, MZ Nezhad, JM Albala-Bertrand, N Anbarci, ...","Journal of Applied Sciences 9 (2), 1417-1434, 1993","","1993"
"A list of Working Papers on the last pages","A Banerjee, JW Weibull","","","1992"
"Peer Group Effects in Education","AV Banerjee, T Besley","Center for Economic Policy Studies, Princeton University, 1992","","1992"
"Evolutionary selection and rational behavior: earlier versions of this paper were presented at the Mini-Conference on Evolution Learning and Experimentation, University of …","AV Banerjee, JW Weibull","University of Stockholm, 1991","","1991"
"Remittances and poverty nexus: Evidence from Pakistan.","D Emilson Adenutsi, RH Adams Jr, RH Adams Jr, RH Adams Jr, J Page, ...","The International Journal of Applied Economics and Finance 4 (1), 1645-1669, 1991","","1991"
""" bepartment of Economics"" bepartment of Economics Fisher Hall Anders en Hall","AV Banerjee","","","1990"
"Andersen Hall Northwestern University","A Banerjee","","","1989"
"Voters be Primed to Choose Better Legislators? Experimental Evidence from Rural India,” October 2010. mimeo, Harvard Universiy. 4, 27, 29, Selvan Kumar, Rohini Pande, and Felix …","A Banerjee, D Green, J Green","Harvard University, 1989","","1989"
"Lawrence H. Summers","A Banerjee","","","1987"
"Burman, BK Roy, 131-148, 267 Burnell, AC, 266","TJ Byres, KJ Alexander, GA Almond, LK Ananthakrishna Iyer, V Anstey, ...","Culture and society: a festschrift to Dr. A. Aiyappan, 324, 1975","","1975"
"Assessing Fiscal Sustainability in Theory and Practice.","SM Shah, SH Shah, A Zahid, AR Nizamani, RJ Barro, J Tobin, H Bohn, ...","Asian Journal of Scientific Research 10 (4), 1095-1117, 1974","","1974"
"A Theory of Experimenters: Robustness, Randomization, and Balance","E Snowberg, A Banerjee, S Chassang, S Montero","","",""
"My interests lie in algebraic geometry and algebraic K-theory. More specifically, my research concerns the study of motives.","A BANERJEE","","",""
"Do Gender Stereotypes Reduce Girls' Achievements? Evidence from a Natural Experiment* Do Gender Stereotypes...","V Lavy, JD Angrist, A Banerjee","","",""
"Alleviating poverty with experimental research: The 2019 Nobel laureates","M Kremer, C Snyder, F Mashwama, S Baird, J Hicks, E Miguel, ...","","",""
"Repensar la pobreza: un giro radical en la lucha contra la desigualdad global/Abhijit V. Banerjee, Esther Duflo.","AVI Banerjee","Pensamiento, 0","",""
"Dualism and Macroeconomic Volatility","T Piketty, A Banerjee, P Aghion","MIT Press, 0","",""
"Police Performance and Public Perception in Rajasthan, India","A Banerjee, D Keniston, E Duflo, R Chattopadhyay","","",""
"Adjaouté, K., Danthine, J., and Isakov, D.(2005). Portfolio Diversification in Europe. In Huizinga, H. and Jonung, L.(Eds.), The Internationalisation of Asset Ownership in …","A Ando, F Modigliani, IJ Arnold, CG De Vries, M Artis, H Krolzig, J Toro, ...","Economic Modelling 20, 275-299, 0","",""
"Poor Economics: A Radical Rethinking of the Way to Fight Global Poverty","AV BANERJEE, E DUFLO","","",""
"reviewer thanks","A Abdurazik, P Abrahamsson, A Abran, S Adolph, W Ahmed, B Al-Ani, ...","","",""
"bondmarkets (see also domestic bondmarkets; global bondmarket","P Bacchetta, K Bae, A Banerjee, BN Gemeenten, T Beck, AD Market","","",""
"Climate Protection Through Hydrogen Energy: An International Survey of Research, Development and Policy Solomon, BD, Michigan Technological University, USA; Heiman, MK …","A Banerjee","","",""
"¿ Cuál es tu evidencia?","A Banerjee, R Cooper, M Valdés","","",""
"Permuted Title Index","LH Goulder, ST Higgins, AJ Bowlus, L Fontagne, J Lee, MT Jones, ...","","",""
"Permuted Title Index","JJ Choi, J Boone, J Hamilton, P Michel, O Deschenes, S Braguinsky, ...","","",""
"Will Chinese household savings plummet with the end of the one-child policy? Maybe, maybe not….","A Banerjee, X Meng, T Porzio, N Qian","","",""
"6 Thy Neighbor's Keeper: The Design of Cooperative with Theory and","AV Banerjee, T Besley, TW Guinnane","Readings in, 145, 0","",""
"Response to All-Party Parliamentary Group on Microfinance Call for Written Evidence","WAW Learning, A Banerjee, E Duflo, R Glennerster, C Kinnan","","",""
"Journal of Economic Perspectives I","AV Banerjee, E Duﬂo","","",""
"Burgess, Robin Camerer, Colin F. Campante, Filipe Campbell, John Y. Carroll, Christopher","H David, CN Avery, L Babcock, D Backus, G Baker, MP Baker, J Bakija, ...","","",""
"Aux urnes, précariat!","AV Banerjee, E Duflo","","",""
"Armenia-Third Social Investment Fund Project","A Banerjee, E Duflo, R Banerji, R Glennerster, S Khemani","The World Bank, 0","",""
"Economía de la pobreza: repensando la lucha contra la pobreza global","AV Banerjee, E Duflo","","",""
"Morocco-Poverty and social impact analysis of the National Slum Upgrading Program","A Banerjee, E Duflo, R Banerji, R Glennerster, S Khemani","The World Bank, 0","",""
"Index by Author to Volume 24","D Acemoglu, JC Aker, IM Mbiti, JD Angrist, JS Pischke, AJ Auerbach, ...","","",""
"INSTIT","P Legros, AF Newman, E Proto, S Visaria, C Chamley, ...","","",""
"J-PAL Datasets Research and Teaching Output of the MIT Community","R Chattopadhyay, E Duflo, A Banerjee, A Deaton, R Hanna, S Cole, ...","","",""
"Notice bibliographique L","SA Agrawal, M Ainsworth, G Akerlof, H Alderman, T Alexander, ...","","",""
"St. Lucia-Pilot for Organization of Eastern Caribbean States (OECS) Skills Enhancement for Inclusive Growth Project","A Banerjee, E Duflo, R Banerji, R Glennerster, S Khemani","The World Bank, 0","",""
"How to Target the Poor: Evidence from a Field Experiment in Indonesia1","A Banerjee, MITR Hanna, BA Olken, MITJ Tobias","","",""
"MIT Dept. of Economics Working Papers Series Research and Teaching Output of the MIT Community","D Acemoglu, M Mostagir, A Ozdaglar, D Laibson, JA List, AV Banerjee, ...","","",""
"Parry, Ian WH Accountability von Ungern-Stemberg, Th Acquirer","B Jovanovic, H Hansmann, T O'Donoghue, AL Orders, M Sertel, R Cooper, ...","","",""
"THE WORLD BANK ECONOMIC REVIEW","FS Bourguignon, A Banerjee, R Kanbur, K Basu, JY Lin, T Besley, A Case, ...","","",""
"American Economic Journal","D Acemoglu, D Ticchi, A Vindigni, T Cogley, GE Primiceri, TJ SARGENT, ...","","",""
"What Works in Poverty Reduction","A Banerjee","","",""
"Cars, not land","A BANERJEE","","",""
"BIG ANSWERS FOR BIG QUESTIONS: THE PRESUMPTION OF MACRO","A Banerjee, MH Low","","",""
"Improving Police Effectiveness: The Rajasthan Experiment","A Banerjee, E Duflo, D Keniston, N Singh","","",""
"Index by Author to Volume 21","S Anderson, M Baker, J Wurgler, AV Banerjee, E Duflo, E Basker, ...","","",""
"Report of the Editor Journal of Economic Literature","WP Levin, J Sobel, AA Acemoglu, A Banerjee, P Beaudry, R Beetsma, ...","","",""
"Ecuador-Agricultural Competitiveness and Sustainable Rural Development Project","A Banerjee, E Duflo, R Banerji, R Glennerster, S Khemani","The World Bank, 0","",""
"Economics and Population","AV BANERJEE, E DUFLO, S Paris, M MARUANI, M MERON, ...","","",""
"Index by Author to Volume 20","H David, MG Duggan, A Banerjee, E Duflo, RJ Barro, RM McCleary, G Bel, ...","","",""
"Daniel Berkowitz Gérard Roland","A Banerjee, S Djankov, W Easterly, M Ghatak, P Gregory, S Johnson, H Li, ...","","",""
"American Economic Journal","A GALEOTTI, BW ROGERS, A BANERJEE, E DUFLO, M GHATAK, ...","","",""
"Index by Author to Volume 22","FZ Ahmed, E Werker, KB Anderson, E Durbin, A Michael, AV Banerjee, ...","","",""
